Method,Match Type,Category,F1 Score
peft_run1,exact,node_texts,0.778
peft_run1,exact,node_classes,0.878
peft_run1,exact,node_text_and_class,0.757
peft_run1,exact,arrow_path,0.658
peft_run1,exact,arrow_classes,0.894
peft_run1,exact,arrow_labels,0.861
peft_run1,exact,arrow_path_and_label,0.637
peft_run1,exact,arrow_path_label_class,0.637
peft_run1,exact,group_names,0.525
peft_run1,exact,group_classes,0.775
peft_run1,exact,group_texts,0.425
peft_run1,exact,group_name_class_texts,0.325
peft_run1,exact,diagram_recognition,0.19
peft_run1,normalized,node_texts,0.851
peft_run1,normalized,node_classes,0.878
peft_run1,normalized,node_text_and_class,0.831
peft_run1,normalized,arrow_path,0.745
peft_run1,normalized,arrow_classes,0.894
peft_run1,normalized,arrow_labels,0.869
peft_run1,normalized,arrow_path_and_label,0.73
peft_run1,normalized,arrow_path_label_class,0.728
peft_run1,normalized,group_names,0.7
peft_run1,normalized,group_classes,0.775
peft_run1,normalized,group_texts,0.425
peft_run1,normalized,group_name_class_texts,0.4
peft_run1,normalized,diagram_recognition,0.3
two-shot_run1,exact,node_texts,0.682
two-shot_run1,exact,node_classes,0.804
two-shot_run1,exact,node_text_and_class,0.566
two-shot_run1,exact,arrow_path,0.372
two-shot_run1,exact,arrow_classes,0.738
two-shot_run1,exact,arrow_labels,0.599
two-shot_run1,exact,arrow_path_and_label,0.248
two-shot_run1,exact,arrow_path_label_class,0.229
two-shot_run1,exact,group_names,0.205
two-shot_run1,exact,group_classes,0.205
two-shot_run1,exact,group_texts,0.0
two-shot_run1,exact,group_name_class_texts,0.0
two-shot_run1,exact,attribute_method_text_class,0.485
two-shot_run1,exact,diagram_recognition,0.01
two-shot_run1,normalized,node_texts,0.821
two-shot_run1,normalized,node_classes,0.804
two-shot_run1,normalized,node_text_and_class,0.699
two-shot_run1,normalized,arrow_path,0.531
two-shot_run1,normalized,arrow_classes,0.738
two-shot_run1,normalized,arrow_labels,0.622
two-shot_run1,normalized,arrow_path_and_label,0.366
two-shot_run1,normalized,arrow_path_label_class,0.347
two-shot_run1,normalized,group_names,0.205
two-shot_run1,normalized,group_classes,0.205
two-shot_run1,normalized,group_texts,0.0
two-shot_run1,normalized,group_name_class_texts,0.0
two-shot_run1,normalized,attribute_method_text_class,0.588
two-shot_run1,normalized,diagram_recognition,0.02
overall,exact,node_texts,0.734
overall,exact,node_classes,0.845
overall,exact,node_text_and_class,0.671
overall,exact,arrow_path,0.543
overall,exact,arrow_classes,0.831
overall,exact,arrow_labels,0.754
overall,exact,arrow_path_and_label,0.479
overall,exact,arrow_path_label_class,0.472
overall,exact,group_names,0.421
overall,exact,group_classes,0.588
overall,exact,group_texts,0.286
overall,exact,group_name_class_texts,0.218
overall,exact,attribute_method_text_class,0.485
overall,exact,diagram_recognition,0.1
overall,normalized,node_texts,0.837
overall,normalized,node_classes,0.845
overall,normalized,node_text_and_class,0.771
overall,normalized,arrow_path,0.658
overall,normalized,arrow_classes,0.831
overall,normalized,arrow_labels,0.77
overall,normalized,arrow_path_and_label,0.583
overall,normalized,arrow_path_label_class,0.574
overall,normalized,group_names,0.538
overall,normalized,group_classes,0.588
overall,normalized,group_texts,0.286
overall,normalized,group_name_class_texts,0.269
overall,normalized,attribute_method_text_class,0.588
overall,normalized,diagram_recognition,0.16
